tracer_index,tsne1,tsne2,log_density
1.670000000000000000e+02,-1.558519005775451660e-01,-6.177172088623046875e+01,8.943383216857910156e+00
1.680000000000000000e+02,-7.572644948959350586e-01,-6.117378234863281250e+01,8.902725219726562500e+00
1.690000000000000000e+02,-2.832070589065551758e-01,-6.073168182373046875e+01,8.895308494567871094e+00
1.700000000000000000e+02,1.353305280208587646e-01,-6.209318542480468750e+01,8.942560195922851562e+00
1.710000000000000000e+02,-8.451033830642700195e-01,-6.108918762207031250e+01,8.920691490173339844e+00
1.720000000000000000e+02,-1.091085314750671387e+00,-6.083756256103515625e+01,8.928343772888183594e+00
1.730000000000000000e+02,1.336967945098876953e+00,-6.283235931396484375e+01,8.914084434509277344e+00
1.740000000000000000e+02,-8.818790912628173828e-01,-6.011080169677734375e+01,8.872633934020996094e+00
1.750000000000000000e+02,2.419330477714538574e-01,-6.223444366455078125e+01,8.905926704406738281e+00
1.760000000000000000e+02,-3.881572484970092773e-01,-6.152110671997070312e+01,8.906186103820800781e+00
1.770000000000000000e+02,7.004058957099914551e-01,-6.274817657470703125e+01,8.928691864013671875e+00
1.780000000000000000e+02,9.439155459403991699e-01,-6.299167633056640625e+01,8.900904655456542969e+00
1.790000000000000000e+02,-6.299878954887390137e-01,-6.131299591064453125e+01,8.908600807189941406e+00
1.800000000000000000e+02,-8.511987924575805664e-01,-6.107603454589843750e+01,8.897642135620117188e+00
1.810000000000000000e+02,5.691886693239212036e-02,-6.117552566528320312e+01,8.928709983825683594e+00
1.820000000000000000e+02,-9.507260918617248535e-01,-6.094946670532226562e+01,8.913312911987304688e+00
1.830000000000000000e+02,-1.672017455101013184e+00,-6.032219696044921875e+01,8.907873153686523438e+00
1.840000000000000000e+02,-1.215578079223632812e+00,-5.981572723388671875e+01,8.882029533386230469e+00
1.850000000000000000e+02,-9.192813038825988770e-01,-6.099843978881835938e+01,8.905388832092285156e+00
1.860000000000000000e+02,-1.108796119689941406e+00,-5.993199157714843750e+01,8.864338874816894531e+00
1.870000000000000000e+02,-4.691244065761566162e-01,-6.145642089843750000e+01,8.901081085205078125e+00
1.880000000000000000e+02,-1.619590640068054199e+00,-6.036554336547851562e+01,8.907697677612304688e+00
1.890000000000000000e+02,-9.588417410850524902e-01,-6.102425765991210938e+01,8.934225082397460938e+00
1.900000000000000000e+02,-1.235002398490905762e+00,-6.071654129028320312e+01,8.906280517578125000e+00
1.910000000000000000e+02,-3.278260231018066406e-01,-6.068335723876953125e+01,8.853004455566406250e+00
1.920000000000000000e+02,-1.273242831230163574e+00,-6.068664169311523438e+01,8.910493850708007812e+00
1.930000000000000000e+02,-6.766236424446105957e-01,-6.127758789062500000e+01,8.895952224731445312e+00
1.940000000000000000e+02,-9.306190609931945801e-01,-6.011233901977539062e+01,8.927165985107421875e+00
1.950000000000000000e+02,-6.146571636199951172e-01,-6.132011032104492188e+01,8.880029678344726562e+00
